city,month,temperature_celsius,humidity_percent,device_type,star_rating,usage_hours,energy_consumption_kwh
Satara,12,22.0,46.9,LED TV,5,3.0,0.2049
Satara,5,32.5,62.4,Iron,4,0.7,0.7255
Mumbai,8,42.1,43.4,Microwave Oven,1,10.3,16.9914
Mumbai,2,25.4,55.1,Washing Machine,5,1.3,0.5143
Mumbai,3,23.4,36.2,Microwave Oven,4,8.7,10.0869
Mumbai,12,27.0,62.8,Ceiling Fan,5,13.6,0.8432
Satara,6,28.8,69.1,LED TV,4,6.1,0.495
Satara,10,25.9,66.5,Ceiling Fan,2,10.5,1.1791
Mumbai,1,27.3,61.8,Ceiling Fan,5,14.3,0.9035
Satara,12,29.8,85.2,Microwave Oven,3,22.9,32.2032
Mumbai,2,25.5,66.6,Room Heater,2,3.8,8.9719
Mumbai,12,21.1,43.5,Desktop Computer,1,11.3,3.7067
Mumbai,9,28.3,83.3,Room Heater,3,2.8,6.4167
Satara,1,17.3,42.4,Microwave Oven,3,1.2,1.458
Mumbai,8,30.7,87.4,Iron,5,1.2,1.2104
Mumbai,9,29.9,85.8,Microwave Oven,4,1.0,1.3129
Mumbai,4,29.9,72.4,Washing Machine,4,1.1,0.553
Mumbai,9,30.9,86.2,Microwave Oven,1,1.4,2.2843
Mumbai,11,11.3,71.7,Air Conditioner,3,20.6,33.0018
Mumbai,4,42.3,64.3,Water Heater (Geyser),5,4.9,11.5157
Satara,7,26.3,81.5,Refrigerator,3,23.8,4.7243
Mumbai,11,32.5,58.6,Iron,2,2.6,3.0837
Satara,11,23.2,48.5,Ceiling Fan,3,10.4,0.9382
Satara,5,34.8,64.1,Iron,4,1.3,1.356
Mumbai,3,29.3,57.3,Ceiling Fan,3,19.5,1.9468
Mumbai,10,28.5,65.9,Ceiling Fan,2,5.9,0.6906
Mumbai,12,25.2,55.2,Desktop Computer,4,5.6,1.3758
Satara,8,22.5,85.0,Air Conditioner,3,10.6,23.4078
Mumbai,5,32.0,82.3,Air Conditioner,4,2.9,6.7819
Mumbai,7,29.5,85.2,Ceiling Fan,3,11.7,1.2292
Satara,11,25.1,45.3,Refrigerator,2,20.5,4.3181
Satara,12,19.3,36.0,Room Heater,3,5.0,9.9817
Mumbai,8,27.8,85.0,Room Heater,3,5.3,12.2326
Mumbai,9,33.2,90.2,Microwave Oven,2,0.9,1.4008
Mumbai,11,29.5,62.8,Water Heater (Geyser),5,1.8,3.6429
Mumbai,7,29.6,89.2,Washing Machine,2,0.9,0.611
Satara,8,23.1,76.7,Desktop Computer,3,7.2,2.0388
Mumbai,6,29.7,89.1,LED TV,5,6.0,0.447
Satara,5,33.1,49.2,Air Conditioner,5,6.8,13.426
Mumbai,9,28.5,74.6,Water Heater (Geyser),3,2.5,6.4132
Mumbai,1,25.5,47.6,Microwave Oven,3,2.1,2.7496
Mumbai,2,25.4,58.9,Ceiling Fan,3,13.2,1.2652
Satara,12,30.6,66.9,Ceiling Fan,2,23.4,2.87
Satara,1,42.5,24.6,Refrigerator,5,0.9,0.138
Mumbai,10,18.3,53.6,Iron,4,9.9,9.5774
Mumbai,7,27.6,88.3,Iron,4,0.8,0.8607
Satara,12,24.9,42.3,Iron,3,1.4,1.4591
Mumbai,5,35.2,58.4,Air Conditioner,4,11.9,28.2394
Satara,5,22.2,54.5,Microwave Oven,4,1.4,1.6386
Mumbai,2,24.0,61.7,Washing Machine,5,0.8,0.3141
Satara,7,21.5,85.5,Air Conditioner,4,10.7,20.5023
Satara,7,25.4,82.6,Ceiling Fan,5,9.5,0.5961
Mumbai,9,18.7,37.6,Desktop Computer,5,4.8,0.9428
Satara,11,27.8,36.9,Air Conditioner,2,8.3,21.4537
Satara,2,24.0,45.5,Washing Machine,5,0.8,0.3083
Satara,4,28.8,44.1,Air Conditioner,1,4.9,14.1542
Mumbai,7,20.8,65.3,Ceiling Fan,1,14.2,1.7329
Mumbai,7,27.0,91.7,Water Heater (Geyser),5,1.7,3.5519
Satara,1,21.2,48.5,Washing Machine,5,1.4,0.5488
Satara,5,33.3,48.7,Water Heater (Geyser),5,2.0,4.1209
Satara,4,26.5,71.0,Refrigerator,2,20.8,4.6737
Mumbai,7,45.7,40.3,Desktop Computer,4,19.3,5.2414
Satara,3,27.0,24.4,Ceiling Fan,2,4.4,0.4797
Satara,2,27.1,40.2,Room Heater,1,3.1,7.588
Mumbai,3,30.5,55.1,Water Heater (Geyser),2,2.9,8.1227
Mumbai,2,23.6,57.1,Ceiling Fan,5,15.4,0.9046
Mumbai,1,25.0,53.5,Air Conditioner,2,3.2,7.9405
Mumbai,12,28.4,49.0,Ceiling Fan,1,10.5,1.3855
Mumbai,5,32.3,70.3,Ceiling Fan,5,9.6,0.6594
Satara,2,25.1,51.3,Desktop Computer,3,8.8,2.4398
Mumbai,12,25.1,63.1,Desktop Computer,3,7.0,1.9585
Satara,7,23.0,77.1,Desktop Computer,2,4.8,1.507
Mumbai,6,31.7,73.2,Water Heater (Geyser),5,2.7,5.7929
Mumbai,10,41.3,83.9,Iron,1,2.0,2.6976
Satara,2,29.7,37.7,Washing Machine,3,0.8,0.4424
Mumbai,4,32.2,68.2,Desktop Computer,1,17.2,6.3067
Mumbai,5,34.2,71.2,Air Conditioner,3,5.2,14.3846
Mumbai,11,30.9,62.1,Microwave Oven,1,0.9,1.457
Mumbai,8,27.2,16.8,Air Conditioner,1,11.0,30.0033
Mumbai,3,13.5,62.1,Microwave Oven,2,13.0,17.5486
Mumbai,10,28.7,73.8,Water Heater (Geyser),2,1.8,5.1098
Mumbai,3,32.2,63.1,Microwave Oven,2,1.3,1.9464
Satara,7,24.0,84.1,Microwave Oven,3,0.4,0.5446
Satara,8,23.8,79.2,Water Heater (Geyser),4,2.1,4.6975
Mumbai,4,30.1,68.8,Desktop Computer,5,2.7,0.5901
Satara,4,28.3,43.2,Refrigerator,4,22.7,3.6098
Mumbai,4,37.9,49.5,Iron,3,11.0,12.3263
Satara,6,36.2,60.8,Washing Machine,3,15.1,9.1822
Mumbai,11,25.1,61.9,Microwave Oven,2,1.2,1.7311
Mumbai,7,27.1,90.2,Microwave Oven,2,1.1,1.662
Satara,2,27.3,41.7,Ceiling Fan,2,15.3,1.7487
Satara,3,37.4,43.2,Ceiling Fan,2,2.2,0.2884
Mumbai,11,28.0,52.4,Air Conditioner,5,3.6,6.4108
Mumbai,8,31.4,91.7,Microwave Oven,4,0.5,0.6671
Mumbai,7,29.2,90.7,Microwave Oven,3,1.3,1.7975
Mumbai,10,13.1,38.6,Refrigerator,1,23.7,4.7773
Satara,11,26.1,69.4,LED TV,5,3.9,0.276
Mumbai,7,26.1,68.1,Air Conditioner,5,2.2,3.8376
Mumbai,10,32.4,74.1,Room Heater,2,5.7,14.4905
Mumbai,5,17.3,20.5,Room Heater,4,20.9,36.1382
Mumbai,2,38.8,55.0,Room Heater,4,21.9,48.8338
Mumbai,11,33.2,60.6,Water Heater (Geyser),2,1.2,3.52
Satara,6,46.2,25.4,Air Conditioner,2,16.6,58.1834
Satara,10,41.7,65.1,Desktop Computer,1,12.5,4.8847
Mumbai,3,19.5,33.0,Desktop Computer,4,12.7,2.9089
Mumbai,8,29.1,89.5,Microwave Oven,1,0.8,1.3278
Mumbai,10,29.8,84.0,Ceiling Fan,1,14.0,2.0313
Mumbai,6,32.6,83.9,LED TV,3,7.3,0.6795
Mumbai,11,30.4,81.5,LED TV,4,5.3,0.4356
Mumbai,1,29.2,63.6,Iron,4,0.4,0.4199
Mumbai,12,28.8,72.1,Air Conditioner,2,7.8,21.5162
Mumbai,2,43.1,78.4,Air Conditioner,4,15.2,43.1933
Satara,4,29.3,50.0,Ceiling Fan,1,9.9,1.337
Satara,4,27.1,47.8,Ceiling Fan,1,9.9,1.2699
Satara,1,47.5,70.8,Refrigerator,4,8.1,1.7188
Mumbai,6,30.8,86.9,Iron,2,0.9,1.101
Mumbai,5,30.4,77.9,LED TV,4,6.0,0.4946
Satara,10,26.4,63.9,Iron,2,0.8,0.9228
Mumbai,9,30.8,85.9,LED TV,2,2.6,0.265
Mumbai,12,25.5,68.6,Washing Machine,2,1.8,1.1763
Satara,11,25.8,47.8,Washing Machine,1,0.7,0.4934
Satara,12,24.9,43.9,Refrigerator,1,22.6,5.5969
Satara,3,26.2,52.3,Refrigerator,5,21.2,2.8971
Satara,7,25.8,83.0,Room Heater,3,5.2,11.599
Satara,2,24.1,50.5,Washing Machine,2,1.2,0.7532
Mumbai,1,22.5,58.6,Washing Machine,1,1.4,0.9893
Satara,12,21.6,41.8,Water Heater (Geyser),3,1.3,3.0272
Mumbai,5,30.2,78.1,Washing Machine,2,1.0,0.6848
Satara,5,32.9,63.2,Water Heater (Geyser),1,1.5,4.7471
Satara,4,35.3,52.5,Room Heater,4,1.6,3.4442
Satara,7,19.3,44.3,Ceiling Fan,2,8.0,0.7938
Satara,6,28.1,78.8,Water Heater (Geyser),2,2.2,6.1176
Satara,7,26.0,85.6,Ceiling Fan,2,4.5,0.5273
Satara,12,23.9,38.0,Washing Machine,2,1.4,0.858
Mumbai,5,33.6,75.2,Desktop Computer,5,2.4,0.5512
Mumbai,7,28.8,88.2,Room Heater,2,5.6,14.1591
Mumbai,1,23.1,52.1,Washing Machine,2,1.5,0.9183
Mumbai,6,32.5,78.3,Ceiling Fan,2,7.5,0.9722
Satara,5,44.9,34.8,Air Conditioner,3,13.0,40.6311
Mumbai,8,41.1,71.7,Water Heater (Geyser),3,0.6,1.7318
Mumbai,10,30.5,87.6,Ceiling Fan,3,5.1,0.5492
Satara,10,34.5,57.6,Washing Machine,4,2.4,1.2132
Satara,7,23.6,86.1,LED TV,5,7.5,0.5389
Satara,12,22.9,27.7,Iron,5,0.4,0.3626
Satara,12,24.8,51.0,Water Heater (Geyser),1,1.1,3.1457
Satara,3,45.5,32.5,LED TV,4,2.1,0.174
Satara,12,41.5,41.8,Refrigerator,5,20.1,3.1712
Mumbai,4,30.6,59.8,LED TV,3,5.2,0.4578
Mumbai,3,37.4,70.0,LED TV,4,2.8,0.2369
Mumbai,4,29.2,21.9,Ceiling Fan,2,23.3,2.544
Mumbai,5,40.4,89.0,Room Heater,5,21.0,45.1101
Mumbai,12,12.6,75.2,LED TV,2,11.0,1.0147
Mumbai,6,33.2,94.7,Microwave Oven,3,14.5,21.2141
Mumbai,12,27.4,71.7,Desktop Computer,5,3.8,0.8403
Mumbai,7,32.9,89.4,Air Conditioner,2,20.6,63.6273
Mumbai,9,27.5,80.5,Refrigerator,5,22.1,3.175
Mumbai,7,38.2,85.4,Water Heater (Geyser),5,22.7,53.2556
Mumbai,1,23.5,72.1,Refrigerator,5,23.2,3.1169
Mumbai,7,29.7,88.6,Desktop Computer,1,7.7,2.8491
Satara,12,27.2,51.4,Refrigerator,3,11.2,2.1692
Satara,3,32.4,32.8,LED TV,4,4.2,0.3243
Mumbai,12,26.2,64.9,Room Heater,1,1.7,4.2843
Mumbai,7,29.5,86.5,Refrigerator,5,22.5,3.3282
Mumbai,7,32.6,88.6,Desktop Computer,2,8.1,2.8063
Satara,4,32.7,36.2,Ceiling Fan,4,15.3,1.2663
Satara,11,46.3,67.5,Air Conditioner,5,4.4,11.1296
Satara,8,30.5,51.5,Washing Machine,2,12.8,8.4405
Mumbai,3,33.1,38.1,Desktop Computer,2,4.3,1.3718
Satara,12,24.9,35.6,Water Heater (Geyser),5,2.9,5.4269
Satara,3,26.4,37.7,Room Heater,2,2.7,6.1151
Mumbai,3,26.1,70.5,Microwave Oven,3,0.9,1.236
Mumbai,5,31.8,69.6,Microwave Oven,2,0.8,1.2118
Mumbai,5,15.4,59.6,Refrigerator,1,4.8,1.0338
Mumbai,7,28.9,86.1,Ceiling Fan,5,6.0,0.3943
Mumbai,11,27.5,67.0,Air Conditioner,2,9.3,25.0622
Mumbai,10,28.4,72.1,Air Conditioner,1,8.2,25.0371
Satara,7,22.2,79.5,Desktop Computer,1,5.8,2.0057
Satara,8,24.7,78.0,Ceiling Fan,5,9.2,0.5662
Mumbai,9,31.7,92.6,Desktop Computer,1,5.1,1.9206
Mumbai,2,25.6,55.4,Microwave Oven,1,1.5,2.2758
Mumbai,11,30.5,67.4,LED TV,3,6.0,0.5396
Satara,10,25.4,64.8,Air Conditioner,5,5.5,9.5518
Satara,10,26.2,59.0,LED TV,1,6.9,0.7274
Mumbai,5,32.3,67.2,Room Heater,2,4.7,11.9834
Satara,8,25.2,81.6,Water Heater (Geyser),2,1.5,4.1427
Satara,5,32.8,54.2,Air Conditioner,4,8.5,19.5733
Mumbai,11,27.5,69.4,Refrigerator,2,22.0,5.1289
Mumbai,3,27.3,64.3,Washing Machine,1,1.1,0.7887
Satara,9,25.8,83.3,Ceiling Fan,3,4.9,0.4906
Satara,12,37.1,86.9,Room Heater,2,6.2,16.7046
Satara,6,27.6,76.9,Microwave Oven,5,0.5,0.5884
Satara,1,18.8,54.1,Iron,5,1.5,1.3795
Satara,8,21.7,81.3,Air Conditioner,2,2.9,6.8488
Mumbai,3,29.8,69.1,Water Heater (Geyser),3,1.5,3.9205
Mumbai,5,33.1,85.9,Iron,3,1.1,1.267
Mumbai,8,28.1,87.0,Desktop Computer,4,5.1,1.3221
Mumbai,1,22.3,49.0,Ceiling Fan,1,12.4,1.5008
Satara,2,29.1,75.7,Microwave Oven,5,5.0,5.8023
Mumbai,2,25.2,57.0,Washing Machine,3,1.9,1.072
Mumbai,10,14.3,66.7,Room Heater,2,23.6,50.2688
Mumbai,5,34.0,71.1,Microwave Oven,3,1.2,1.7177
Mumbai,2,24.9,60.2,Room Heater,2,2.2,5.0542
Mumbai,1,26.0,60.5,Room Heater,1,5.4,13.565
Satara,6,30.4,81.7,Desktop Computer,4,7.0,1.8528
Mumbai,11,35.3,47.8,Desktop Computer,1,17.2,6.1951
Mumbai,10,29.5,78.1,Ceiling Fan,5,4.7,0.3077
Satara,6,29.5,66.3,LED TV,5,4.2,0.3041
Satara,1,25.0,69.9,Microwave Oven,2,10.2,14.6056
Mumbai,1,25.1,92.6,Refrigerator,5,20.8,2.94
Mumbai,11,25.7,75.1,Refrigerator,5,21.8,3.0342
Mumbai,2,28.7,65.9,Microwave Oven,1,0.6,0.9518
Mumbai,12,29.9,73.7,Washing Machine,1,0.6,0.4594
Mumbai,1,26.8,61.6,Microwave Oven,4,0.8,1.0099
Mumbai,10,31.9,66.5,Water Heater (Geyser),4,0.7,1.6925
Mumbai,9,28.9,77.5,Air Conditioner,5,7.2,13.8627
Satara,8,26.1,57.2,Water Heater (Geyser),4,7.9,17.7896
Satara,4,41.5,47.3,Microwave Oven,4,10.2,13.3194
Satara,10,25.5,64.0,Water Heater (Geyser),4,1.2,2.7265
Satara,8,24.7,90.6,Desktop Computer,1,9.9,3.6618
Satara,5,36.1,38.5,Water Heater (Geyser),1,3.0,9.4311
Satara,1,19.0,64.2,Desktop Computer,2,2.5,0.7674
Satara,5,45.7,37.4,Room Heater,1,6.9,19.816
Mumbai,11,27.4,63.6,Microwave Oven,4,0.5,0.6314
Satara,10,47.0,73.4,Washing Machine,2,12.3,9.0892
Satara,9,23.4,80.5,Room Heater,4,4.3,8.7172
Satara,6,27.7,76.8,Washing Machine,3,0.7,0.4087
Satara,10,10.7,73.1,Desktop Computer,4,18.2,4.1241
Satara,9,30.0,81.0,Desktop Computer,5,13.2,3.0097
Mumbai,6,30.3,78.8,Washing Machine,4,1.5,0.7577
Satara,7,12.6,60.3,Desktop Computer,5,7.9,1.5574
Satara,8,22.1,80.9,Refrigerator,5,23.9,3.2331
Mumbai,1,25.5,66.1,Iron,2,1.0,1.1523
Satara,10,28.9,50.4,Refrigerator,2,20.6,4.738
Mumbai,1,31.9,63.5,Ceiling Fan,2,10.5,1.3094
Mumbai,4,33.8,77.8,Refrigerator,3,23.0,5.0248
Satara,4,34.2,54.4,Washing Machine,4,1.5,0.7499
Satara,6,29.2,80.8,Ceiling Fan,2,7.3,0.9141
Mumbai,1,28.3,65.4,Microwave Oven,1,0.4,0.6313
Mumbai,9,28.9,83.7,Room Heater,1,2.2,5.9306
Mumbai,8,17.5,87.6,Desktop Computer,1,22.4,7.7386
Mumbai,5,32.2,93.8,Air Conditioner,5,2.8,5.8569
Mumbai,11,29.2,81.0,Microwave Oven,2,0.9,1.3376
Mumbai,5,30.4,91.8,LED TV,1,7.0,0.7873
Satara,5,32.5,54.7,Ceiling Fan,3,7.8,0.837
Mumbai,9,29.2,83.2,Air Conditioner,5,3.6,6.8267
Mumbai,4,41.9,24.7,Iron,4,5.6,5.62
Mumbai,3,29.0,65.9,Desktop Computer,1,3.5,1.2407
Satara,10,27.6,59.7,Refrigerator,5,20.6,2.8951
Mumbai,12,21.6,66.1,Refrigerator,4,14.1,2.1849
Mumbai,1,23.3,68.7,Microwave Oven,5,1.2,1.3511
Mumbai,3,30.1,74.8,Air Conditioner,4,6.5,14.8421
Satara,10,29.7,75.5,Ceiling Fan,1,6.2,0.8685
Mumbai,4,39.3,85.0,Refrigerator,4,14.9,2.9679
Mumbai,8,29.7,85.9,LED TV,5,2.3,0.1701
Mumbai,11,47.7,46.0,Desktop Computer,3,22.6,6.9393
Mumbai,1,27.6,63.3,Microwave Oven,3,0.6,0.809
Satara,4,44.6,48.1,Room Heater,1,0.8,2.3613
Mumbai,5,29.4,74.7,Ceiling Fan,5,7.4,0.4913
Mumbai,9,19.0,46.6,Ceiling Fan,3,7.9,0.6511
Mumbai,5,25.0,89.4,Iron,1,15.2,18.9478
Satara,11,18.1,46.0,Water Heater (Geyser),3,16.5,35.8733
Mumbai,3,20.6,41.0,Refrigerator,1,22.7,5.1833
Mumbai,4,33.6,65.9,Water Heater (Geyser),4,0.7,1.6902
Satara,5,14.4,60.4,Washing Machine,1,21.8,14.7473
Mumbai,10,30.7,69.7,Room Heater,5,5.1,9.8591
Satara,9,26.7,76.4,Room Heater,2,1.5,3.6172
Satara,9,24.2,80.1,Water Heater (Geyser),4,2.9,6.5891
Mumbai,5,31.3,79.2,Washing Machine,5,1.9,0.8155
Satara,6,28.7,74.8,Ceiling Fan,1,14.0,1.9785
Satara,3,25.2,26.8,Water Heater (Geyser),4,9.9,20.4221
Satara,4,27.2,55.3,Room Heater,5,1.2,2.189
Mumbai,8,29.3,83.9,Room Heater,2,1.6,3.9963
Mumbai,7,26.5,80.4,Microwave Oven,3,1.1,1.5216
Mumbai,8,28.1,89.6,Desktop Computer,3,8.5,2.4968
Satara,8,24.7,85.8,Ceiling Fan,1,13.5,1.8039
Mumbai,6,32.0,80.5,Iron,2,0.8,0.9658
Satara,8,26.2,80.4,Microwave Oven,2,0.5,0.7574
Satara,4,28.8,47.8,Ceiling Fan,3,5.5,0.5352
Mumbai,3,25.3,66.1,Iron,5,0.5,0.4843
Satara,3,26.1,36.3,Iron,2,1.1,1.2134
Mumbai,12,22.5,63.2,Water Heater (Geyser),2,1.6,4.2115
Mumbai,8,30.8,89.9,Washing Machine,1,0.6,0.4698
Mumbai,8,39.3,23.9,Microwave Oven,5,10.2,11.6501
Satara,7,31.2,60.0,Room Heater,2,17.1,42.1276
Satara,1,23.3,45.2,Iron,2,0.5,0.5651
Mumbai,8,31.3,86.3,LED TV,2,6.6,0.6768
Mumbai,5,34.5,69.2,Refrigerator,4,22.7,4.1942
Satara,8,24.8,78.0,Room Heater,2,1.9,4.5161
Mumbai,9,28.8,75.5,Water Heater (Geyser),1,2.5,8.0244
Mumbai,5,32.0,63.3,Microwave Oven,1,0.5,0.7954
Mumbai,9,29.7,75.3,Microwave Oven,3,0.8,1.1257
Mumbai,2,23.8,58.3,Refrigerator,1,20.5,4.9684
Satara,3,23.8,49.7,Refrigerator,4,21.4,3.3478
Satara,3,24.1,41.5,Iron,1,0.6,0.6953
Satara,8,26.6,90.7,Refrigerator,3,20.6,4.2259
Mumbai,11,23.8,61.8,Air Conditioner,3,4.0,8.8353
Mumbai,2,30.1,69.3,LED TV,2,4.6,0.4596
Mumbai,8,30.1,84.6,Washing Machine,5,1.4,0.6125
Mumbai,1,11.0,92.0,Air Conditioner,5,20.1,25.4432
Satara,9,26.2,53.3,Refrigerator,2,18.5,4.0517
Satara,9,26.1,76.1,Air Conditioner,4,9.2,19.405
Satara,2,23.9,43.5,Room Heater,4,3.6,6.9432
Satara,12,45.0,35.7,Iron,1,22.8,28.7754
Mumbai,3,29.5,59.9,LED TV,3,7.2,0.6447
Satara,4,27.8,35.0,Ceiling Fan,1,6.3,0.812
Satara,10,35.2,58.2,Iron,2,18.7,22.2743
Mumbai,6,32.3,75.1,Iron,5,0.8,0.7912
Mumbai,4,30.3,70.5,Water Heater (Geyser),4,1.6,3.8391
Mumbai,10,33.3,67.9,Microwave Oven,3,1.2,1.6561
Mumbai,12,24.2,42.8,Room Heater,5,10.1,17.7139
Mumbai,5,34.4,62.8,Washing Machine,2,1.2,0.8154
Satara,9,27.9,79.0,Desktop Computer,5,6.5,1.4427
Mumbai,8,28.8,82.0,Desktop Computer,2,8.0,2.6682
Mumbai,7,28.9,93.6,Washing Machine,3,1.2,0.7207
